b,r,stability_constant,weight_l1,unity_residual,max_moment_residual,observed_slope,predicted_slope,N_for_bound,actual_error,analytic_bound
2,4,1.9692603536682694319471936969672657,1.9488536155202821869488536155202822,0.0,1.3006188e-1304,-7.99950349173200496602689313544,-8,16,4.66728005050769439826164272288e-15,3.7664230382122084161967867535e-11
2,8,1.9692603536682694319471936969672657,1.9691802258895575318831401105474973,8.8788913e-1302,1.0907638e-1305,-15.9998396790054779269302700958,-16,16,5.98156142608051630040815025465e-43,8.48912123069627544294471948742e-26
2,12,1.9692603536682694319471936969672657,1.9692600406627907056352398818812646,1.7757783e-1301,8.5084084e-1309,-23.9999218928779266495388750033,-24,16,4.01079371957986275664453199324e-82,4.30055684222819119885505394881e-42
2,24,1.9692603536682694319471936969672657,1.9692603536682507753653387723275644,7.1031131e-1301,9.2175523e-1315,-47.9999784973254636602641214517,-48,16,4.07299020052058004849223474095e-263,1.18245021314965956453699027492e-96
3,4,1.2852105863918313740712293708185436,1.2847699175824175824175824175824176,1.7757783e-1301,1.3073929e-1304,-7.99957950397625469985453833609,-8,16,3.59749085976939157918889300146e-17,2.45810400464490523284274716144e-11
3,8,1.2852105863918313740712293708185436,1.2852105192154314850257775430731016,1.7757783e-1301,1.043795e-1308,-15.9998647282214175754174839169,-16,16,8.2359605642520282637161005694e-53,5.54030778841973011983220168592e-26
3,12,1.2852105863918313740712293708185436,1.2852105863815926297267098727779463,5.3273348e-1301,2.602497e-1311,-23.9999340973659746305357179663,-24,16,2.28659421202381887046586869543e-105,2.80669905871804502202660988505e-42
3,24,1.2852105863918313740712293708185436,1.285210586391831374071193118433357,1.7757783e-1301,7.1256122e-1324,-47.9999818571365167657058375379,-48,16,2.55587573200805416249183427108e-360,7.71709809213586442725228934059e-97
6,4,1.0588221944568292762975600975044191,1.0588208976442361319192771953921425,0.0,5.2949604e-1306,-7.99961549469664873779948264812,-8,16,8.78323301019959396485771646147e-21,2.02511176297433352944126924433e-11
6,8,1.0588221944568292762975600975044191,1.0588221944560571870894956756363203,1.7757783e-1301,1.5709209e-1312,-15.9998763236026053685924663783,-16,16,1.14298155567365758054071810335e-69,4.56438883449437327230576382913e-26
6,12,1.0588221944568292762975600975044191,1.0588221944568292758378781177753004,1.7757783e-1301,2.7343777e-1318,-23.999939746317480828265025275,-24,16,4.19983252082951612727213554644e-145,2.31230219233949339108532774395e-42
6,24,1.0588221944568292762975600975044191,1.0588221944568292762975600975044191,5.3273348e-1301,3.202658e-1337,-47.9999834122505767395913618531,-48,16,1.73373517710855886328237486305e-526,6.35773998694930175468036978792e-97
9,4,1.025316406852817506338111067797247,1.0253163586199759144964624416679211,0.0,9.737816e-1308,-7.99962150361000211983638833258,-8,16,6.76958026730081135839522753179e-23,1.96102832671862480539757152765e-11
9,8,1.025316406852817506338111067797247,1.0253164068528163858615310671014179,0.0,5.7741601e-1315,-15.9998782561728957561041932814,-16,16,1.57372738405960436717390147163e-79,4.41995151193792135802652668648e-26
9,12,1.025316406852817506338111067797247,1.02531640685281750633808503848412,5.3273348e-1301,1.5779147e-1322,-23.999940687811189588986922563,-24,16,2.39434186985286305535850667052e-168,2.23913078873800163979629282832e-42
9,24,1.025316406852817506338111067797247,1.025316406852817506338111067797247,1.7757783e-1301,4.1183625e-1345,-47.999983671436417630859882583,-48,16,1.08794732277584071577027495134e-623,6.1565531524085555953432405018e-97
27,4,1.0027510316297433956390451611072092,1.0027510316226327481522376896879913,1.7757783e-1301,3.5315157e-1310,-7.99962566377917522710551898158,-8,16,1.27382092625437006587514604372e-28,1.91786961032656852792657051519e-11
27,8,1.0027510316297433956390451611072092,1.0027510316297433956390199843938405,0.0,6.774883e-1322,-15.999879594107589732224623545,-16,16,3.00704399647314949056894194656e-106,4.32267630628621843705472550507e-26
27,12,1.0027510316297433956390451611072092,1.0027510316297433956390451611072091,1.7757783e-1301,6.0976124e-1333,-23.9999413396149200185152731586,-24,16,2.50715279635686876404723342352e-231,2.18985153593007896651431665635e-42
27,24,1.0027510316297433956390451611072092,1.0027510316297433956390451611072092,0.0,4.1788562e-1367,-47.9999838508728041147170874743,-48,16,4.63100591400694922995003175179e-887,6.02105845922274639129392138104e-97
